Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
1,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C(C)C,"4-(cyclopropylmethyl)-7-(isopropylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.0327,0.0105,0.0272
2,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)CC,"4-(cyclopropylmethyl)-7-(ethylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.0246,0.00836,0.0192
3,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1C(CN4)CC)C(N(C=C3)C)=O)S(=O)(=O)CC,"4-(cyclopropylmethyl)-3-ethyl-7-(ethylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.046,0.00891,0.0487
4,CN1C=CC2=C(C3=C4C(NC=C4C=C2S(=O)(=O)C)CCN3)C1=O,"10-methyl-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,2,3.09,ND
5,CN1C=CC2=C(C3=C4C(NC=C4C=C2CS(=O)(=O)C)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.765,0.758,ND
6,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(cyclopropylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.00108,0.00171,0.00201
7,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)OCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"ethyl 4-(cyclopropylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxylate",B,0.0511,0.0267,0.0145
8,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.000646,0.00377,0.00568
9,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.000453,0.00111,0.000721
10,C1(CC1)CN1N=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)N,"4-(cyclopropylmethyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulene-7-sulfonamide",E,0.00694,0.00599,0.0608
